event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,1000.0,0,0.0,0.0
4512e46543b960ad,989.86,2,10.14,0.0
6a8a06b542e1516d,968.01,4,43.91,11.92
865aa315ea62c511,961.57,5,50.35,11.92
b4ad3a06ee4d660c,961.57,5,50.35,11.92
20e403a1acfef130,975.84,13,71.3,47.14
47b7e4e60813b7b2,975.84,13,71.3,47.14
c0231720fe516994,977.69,15,81.36,59.05
e7bfdb5e0112891e,977.69,15,81.36,59.05
ed069a95aaaf4f56,977.69,15,81.36,59.05
bc7f7f0ba3db74d2,978.6,17,86.31,64.91
5df10509264586e5,978.6,17,86.31,64.91
1c7cce2f5c17160d,978.6,17,86.31,64.91
1507214bbc7a79e2,978.87,19,87.85,66.72
90e7447d8b7f3f35,978.87,19,87.85,66.72
353de740bb6c7e75,978.87,19,87.85,66.72
99bf06f20491cb54,978.87,19,87.85,66.72
23bd78c3f89bdb54,978.87,19,87.85,66.72
686cccbf1a4de453,978.87,19,87.85,66.72
d7907a9a968e4d29,978.87,19,87.85,66.72
9f3d6ddef3d3cccc,981.63,22,97.73,79.36
ff9578cdbfabd323,981.63,22,97.73,79.36
f4a031ac205ac580,981.63,22,97.73,79.36
a3244e3238541482,981.63,22,97.73,79.36
d86e913c548c07c2,981.63,22,97.73,79.36
1979c80150f630c4,981.63,22,97.73,79.36
9211aae062b799d6,981.63,22,97.73,79.36
cc5834a495d1ea08,981.63,22,97.73,79.36
d6b68eaf4b68b160,981.63,22,97.73,79.36
a7724f51e32e763e,981.63,22,97.73,79.36
a25b71fe5e31fa97,1028.22,29,187.15,215.37
d856a0080ac09ed7,1028.22,29,187.15,215.37
caced97768818230,1028.22,29,187.15,215.37
e7bc606d269896aa,1028.22,29,187.15,215.37
30e8b4505f5ccf92,1028.22,29,187.15,215.37
9e30f69cc0869301,1028.22,29,187.15,215.37
bcd124bcd3d5be46,1028.22,29,187.15,215.37
eaa0a728cc91ef60,1008.75,31,206.62,215.37
04076783ca83d6ae,1008.75,31,206.62,215.37
fc1868f56d3036eb,1157.26,35,318.85,476.11
02177caefe7c07d4,1157.26,35,318.85,476.11
602bb270f2bdbf02,1146.65,39,345.84,492.49
7cf20446453f852b,1146.65,39,345.84,492.49
15515e797aedc137,1157.1,43,362.23,519.33
d181689653115b6a,1157.1,43,362.23,519.33
daa89f01e1c0f42a,1143.19,48,411.65,554.84
7929be8290289a47,1143.19,48,411.65,554.84
eed2b71d77d95416,1143.19,48,411.65,554.84
49e7e05f902479ca,1126.0,50,475.3,601.3
620be7e0712d431b,1126.0,50,475.3,601.3
ad99fa5325519169,1126.0,50,475.3,601.3
67ec58d7cf599835,1103.35,52,497.95,601.3
3144121470023e9a,1103.35,52,497.95,601.3
f5990c11974d8e9c,1122.81,53,504.66,627.47
d29b5c4f22c6357d,1122.81,53,504.66,627.47
2eae41f61776c60f,1122.81,53,504.66,627.47
ac5f67109accb482,1122.81,53,504.66,627.47
8215e4fe24e8e81b,1122.81,53,504.66,627.47
35585d970300d45a,1138.1,56,514.98,653.08
b45d6b73f4ca4467,1138.1,56,514.98,653.08
4f732e58ed907eff,1138.1,56,514.98,653.08
322a56923b396b4d,1138.1,56,514.98,653.08
03b1e846b09f721d,1138.1,56,514.98,653.08
c0342805a1948cbb,1138.1,56,514.98,653.08
d5ae8074631762fc,1138.1,56,514.98,653.08
8d49545dadf9b919,1138.1,56,514.98,653.08
852454c572675334,1138.1,56,514.98,653.08
1ef0eae31904e534,1138.1,56,514.98,653.08
