fighter_id,bout_id,gym_id,gym_purpose
gerard-gordeau,1190-ufc-1-gerard-gordeau-vs-teila-tuli,,
royce-gracie,1206-ufc-1-royce-gracie-vs-art-one-glove-jimmerson,831-gracie-humaita,
ken-shamrock-the-worlds-most-dangerous-man,1210-ufc-1-the-worlds-most-dangerous-man-ken-shamrock-vs-patrick-pat-smith,298-lions-den,
gerard-gordeau,1214-ufc-1-gerard-gordeau-vs-kevin-rosier,,
royce-gracie,1218-ufc-1-royce-gracie-vs-the-worlds-most-dangerous-man-ken-shamrock-i,831-gracie-humaita,
ken-shamrock-the-worlds-most-dangerous-man,1218-ufc-1-royce-gracie-vs-the-worlds-most-dangerous-man-ken-shamrock-i,298-lions-den,
gerard-gordeau,1226-ufc-1-royce-gracie-vs-gerard-gordeau,,
royce-gracie,1226-ufc-1-royce-gracie-vs-gerard-gordeau,831-gracie-humaita,
remco-pardoel-grizzly,ufc-2-remco-grizzly-pardoel-vs-alberto-cerra-leon,7158-pardoel-sports,
royce-gracie,2716-ufc-2-royce-gracie-vs-minoki-ichihara,831-gracie-humaita,
remco-pardoel-grizzly,ufc-2-remco-grizzly-pardoel-vs-orlando-the-gladiator-weit,7158-pardoel-sports,
royce-gracie,1059-ufc-2-royce-gracie-vs-jason-delucia,831-gracie-humaita,
royce-gracie,1072-ufc-2-royce-gracie-vs-remco-grizzly-pardoel,831-gracie-humaita,
remco-pardoel-grizzly,1072-ufc-2-royce-gracie-vs-remco-grizzly-pardoel,7158-pardoel-sports,
royce-gracie,1077-ufc-2-royce-gracie-vs-patrick-pat-smith,831-gracie-humaita,
ken-shamrock-the-worlds-most-dangerous-man,2540-ufc-3-the-worlds-most-dangerous-man-ken-shamrock-vs-cristophe-leninger,298-lions-den,
royce-gracie,2554-ufc-3-royce-gracie-vs-kimo-leopoldo,831-gracie-humaita,
ken-shamrock-the-worlds-most-dangerous-man,2560-ufc-3-the-worlds-most-dangerous-man-ken-shamrock-vs-felix-mitchell,298-lions-den,
royce-gracie,2595-ufc-4-royce-gracie-vs-ron-black-dragon-van-clief,831-gracie-humaita,
anthony-macias-mad-dog,905-ufc-4-dan-the-beast-severn-vs-anthony-mad-dog-macias,427-usa-stars-mma,
royce-gracie,912-ufc-4-royce-gracie-vs-keith-the-giant-killer-hackney,831-gracie-humaita,
guy-mezger-the-sandman,2590-ufc-4-guy-the-sandman-mezger-vs-jason-bonecracker-fairn,299-lions-den-texas,
jason-fairn-bonecracker,2590-ufc-4-guy-the-sandman-mezger-vs-jason-bonecracker-fairn,,
royce-gracie,928-ufc-4-royce-gracie-vs-dan-the-beast-severn,831-gracie-humaita,
guy-mezger-the-sandman,942-ufc-5-guy-the-sandman-mezger-vs-john-dowdy,299-lions-den-texas,
todd-medina-el-tiburon,953-ufc-5-todd-el-tiburon-medina-vs-larry-cureton,,
todd-medina-el-tiburon,2386-ufc-5-dave-dangerous-beneteau-vs-todd-el-tiburon-medina,,
ken-shamrock-the-worlds-most-dangerous-man,2400-ufc-5-the-world-s-most-dangerous-man-ken-shamrock-vs-royce-gracie-ii,298-lions-den,
royce-gracie,2400-ufc-5-the-world-s-most-dangerous-man-ken-shamrock-vs-royce-gracie-ii,831-gracie-humaita,
anthony-macias-mad-dog,ufc-6-anthony-mad-dog-macias-vs-he-man-gipson,427-usa-stars-mma,
cal-worsham,ufc-6-paul-the-polar-bear-varelans-vs-cal-worsham,,
anthony-macias-mad-dog,742-ufc-6-oleg-the-russian-bear-taktarov-vs-anthony-mad-dog-macias,427-usa-stars-mma,
ken-shamrock-the-worlds-most-dangerous-man,749-ufc-6-the-worlds-most-dangerous-man-ken-shamrock-vs-dan-the-beast-severn-i,298-lions-den,
remco-pardoel-grizzly,ufc-7-remco-grizzly-pardoel-vs-ryan-parker,7158-pardoel-sports,
