event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,982.47,4,33.97,16.44
4512e46543b960ad,880.53,8,135.91,16.44
6a8a06b542e1516d,831.04,12,207.59,38.63
865aa315ea62c511,748.96,17,289.67,38.63
b4ad3a06ee4d660c,732.42,19,306.21,38.63
20e403a1acfef130,803.89,25,392.96,196.85
47b7e4e60813b7b2,797.16,28,415.17,212.33
c0231720fe516994,849.45,32,532.28,381.73
e7bfdb5e0112891e,838.88,34,542.85,381.73
ed069a95aaaf4f56,911.3,42,665.79,577.09
bc7f7f0ba3db74d2,988.42,45,736.77,725.19
5df10509264586e5,983.01,47,752.34,735.35
1c7cce2f5c17160d,926.06,50,809.29,735.35
1507214bbc7a79e2,926.99,56,892.69,819.68
90e7447d8b7f3f35,943.47,57,902.99,846.46
353de740bb6c7e75,867.13,64,979.33,846.46
99bf06f20491cb54,900.98,70,1072.46,973.44
23bd78c3f89bdb54,908.64,75,1143.32,1051.96
686cccbf1a4de453,818.79,79,1233.17,1051.96
d7907a9a968e4d29,813.56,83,1281.34,1094.9
9f3d6ddef3d3cccc,873.96,87,1364.32,1238.28
ff9578cdbfabd323,900.66,92,1436.58,1337.24
f4a031ac205ac580,954.43,93,1476.41,1430.84
a3244e3238541482,954.43,93,1476.41,1430.84
d86e913c548c07c2,1188.16,101,1672.35,1860.51
1979c80150f630c4,1127.05,103,1733.46,1860.51
9211aae062b799d6,1166.05,108,1847.94,2013.99
cc5834a495d1ea08,1166.05,108,1847.94,2013.99
d6b68eaf4b68b160,1150.39,111,1877.21,2027.6
a7724f51e32e763e,1108.53,114,1919.07,2027.6
a25b71fe5e31fa97,1281.33,122,2151.06,2432.39
d856a0080ac09ed7,1281.33,122,2151.06,2432.39
caced97768818230,1176.48,125,2255.91,2432.39
e7bc606d269896aa,1198.82,132,2317.47,2516.29
30e8b4505f5ccf92,1200.95,135,2355.82,2556.77
9e30f69cc0869301,1128.44,139,2428.33,2556.77
bcd124bcd3d5be46,1056.34,147,2566.03,2622.37
eaa0a728cc91ef60,999.48,150,2622.89,2622.37
04076783ca83d6ae,999.48,151,2651.51,2650.99
fc1868f56d3036eb,1162.54,155,2802.86,2965.4
02177caefe7c07d4,1267.97,159,2940.74,3208.71
602bb270f2bdbf02,1286.57,162,3087.32,3373.89
7cf20446453f852b,1267.2,166,3133.81,3401.01
15515e797aedc137,1335.58,170,3266.49,3602.07
d181689653115b6a,1295.32,171,3306.75,3602.07
