id,ufcstats_id,sherdog_id,bestfightodds_id,ufc_id,wikipedia_url,name,nickname,date_of_birth,height,reach,nationality,birth_location
100348-carlo-pedersoli,198994b47f395af0,168505,carlo-pedersoli-jr-8152,carlo-pedersoli,https://en.wikipedia.org/wiki/Carlo_Pedersoli_Jr.,Carlo Pedersoli,Semento,1993-06-08,"5'11"" (180cm)","75.0"" (191cm)",Italy,"Miami, Florida"
10097-seo-hee-ham,165c244bcca3ed26,21246,seo-hee-ham-5350,,https://en.wikipedia.org/wiki/Seo_Hee_Ham,Seo Hee Ham,Hamderlei Silva,1987-03-08,"5'2"" (158cm)","62.0"" (157cm)",South Korea,"Gangwon, South Korea"
101043-melquizael-costa-melkcalty,20bccc9bb4ceb23e,168403,melquizael-costa-13774,melquizael-costa,,Melquizael Costa,Melk Cauthy,1996-09-14,"5'10"" (178cm)","71.0"" (180cm)",Brazil,"Porto de Moz, Para, Brazil"
101415-victor-altamirano,dc7927cd622676a7,212269,victor-altamirano-9662,victor-altamirano,,Victor Altamirano,El Magnifico,1991-01-23,"5'8"" (173cm)","70.0"" (178cm)",Mexico,"Mexico City, Mexico"
101823-joshua-culibao,6751eacd16bd59bc,222801,josh-culibao-9928,josh-culibao,https://en.wikipedia.org/wiki/Joshua_Culibao,Josh Culibao,Kuya,1994-05-24,"5'10"" (177cm)","73.0"" (185cm)",Australia,"Sydney, New South Wales, Australia"
101836-alex-gorgees,803bebcfb6d6f506,222785,alex-gorgees-8767,,,Alex Gorgees,Hitman,1995-08-11,"6'2"" (188cm)","77.0"" (196cm)",Iraq,Iraq
101844-nadia-kassem,6e7506127408aa9e,214579,nadia-kassem-7235,nadia-kassem,https://en.wikipedia.org/wiki/Nadia_Kassem,Nadia Kassem,187,1995-11-15,"5'5"" (165cm)","66.0"" (168cm)",Australia,"Sydney, New South Wales, Australia"
101975-carlos-felipe-boi,a2ea77e974c5889f,185021,carlos-felipe-7484,carlos-felipe,https://en.wikipedia.org/wiki/Carlos_Felipe,Carlos Felipe,Boi,1995-01-12,"6'0"" (183cm)","75.0"" (191cm)",Brazil,"Feira de Santana, Bahia, Brazil"
102094-ludovit-klein,5b86d491d63890c5,183159,ludovit-klein-7610,ludovit-klein,https://en.wikipedia.org/wiki/Ľudovít_Klein,Ľudovít Klein,Mr. Highlight,1995-02-22,"5'7"" (170cm)","72.5"" (184cm)",Slovak Republic,Slovakia
102107-victoria-leonardo,9dedfdd91070ddd8,212725,victoria-leonardo-8900,victoria-leonardo,https://en.wikipedia.org/wiki/Victoria_Leonardo,Victoria Leonardo,Fury,1990-02-16,"5'5"" (165cm)","64.0"" (163cm)",United States,"Pomona, New Jersey, United States"
