event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,943.77,6,68.85,12.62
4512e46543b960ad,897.97,13,147.11,45.08
6a8a06b542e1516d,877.59,16,181.32,58.91
865aa315ea62c511,829.54,20,229.37,58.91
b4ad3a06ee4d660c,809.26,23,249.65,58.91
20e403a1acfef130,813.57,28,281.6,95.17
47b7e4e60813b7b2,796.61,35,324.93,121.54
c0231720fe516994,813.76,41,377.99,191.75
e7bfdb5e0112891e,794.48,43,397.27,191.75
ed069a95aaaf4f56,791.99,50,463.05,255.04
bc7f7f0ba3db74d2,780.92,51,474.12,255.04
5df10509264586e5,775.93,55,500.49,276.42
1c7cce2f5c17160d,775.86,61,551.17,327.03
1507214bbc7a79e2,751.83,66,587.46,339.29
90e7447d8b7f3f35,745.26,70,603.68,348.94
353de740bb6c7e75,692.32,77,656.62,348.94
99bf06f20491cb54,692.29,86,720.39,412.68
23bd78c3f89bdb54,726.89,91,762.67,489.56
686cccbf1a4de453,709.52,95,793.24,502.76
d7907a9a968e4d29,730.68,101,844.75,575.43
9f3d6ddef3d3cccc,711.2,106,888.24,599.44
ff9578cdbfabd323,710.45,111,917.55,628.0
f4a031ac205ac580,671.82,119,974.28,646.1
a3244e3238541482,671.82,119,974.28,646.1
d86e913c548c07c2,758.35,126,1015.92,774.27
1979c80150f630c4,772.53,129,1035.68,808.21
9211aae062b799d6,738.93,134,1082.93,821.86
cc5834a495d1ea08,715.86,139,1111.9,827.76
d6b68eaf4b68b160,717.49,142,1142.3,859.79
a7724f51e32e763e,710.01,146,1156.4,866.41
a25b71fe5e31fa97,692.61,155,1221.02,913.63
d856a0080ac09ed7,687.24,160,1250.55,937.79
caced97768818230,692.32,165,1286.65,978.97
e7bc606d269896aa,720.2,171,1319.59,1039.79
30e8b4505f5ccf92,757.82,175,1365.12,1122.94
9e30f69cc0869301,749.28,181,1415.04,1164.32
bcd124bcd3d5be46,694.26,187,1470.06,1164.32
eaa0a728cc91ef60,688.67,193,1509.18,1197.85
04076783ca83d6ae,685.63,195,1515.84,1201.47
fc1868f56d3036eb,751.59,200,1571.19,1322.78
02177caefe7c07d4,773.48,208,1635.4,1408.88
602bb270f2bdbf02,782.19,213,1672.99,1455.18
7cf20446453f852b,776.42,221,1723.86,1500.28
15515e797aedc137,789.12,225,1767.95,1557.07
d181689653115b6a,785.23,230,1807.15,1592.38
daa89f01e1c0f42a,790.16,235,1833.65,1623.81
7929be8290289a47,770.75,240,1862.01,1632.76
eed2b71d77d95416,883.35,246,1912.77,1796.12
49e7e05f902479ca,875.01,250,1964.85,1839.86
620be7e0712d431b,841.86,255,2000.56,1842.42
ad99fa5325519169,815.77,257,2026.65,1842.42
67ec58d7cf599835,775.25,260,2067.17,1842.42
3144121470023e9a,782.28,265,2106.48,1888.76
f5990c11974d8e9c,857.87,269,2149.32,2007.19
d29b5c4f22c6357d,857.87,269,2149.32,2007.19
2eae41f61776c60f,857.87,269,2149.32,2007.19
ac5f67109accb482,831.76,272,2175.43,2007.19
8215e4fe24e8e81b,802.22,276,2229.56,2031.78
35585d970300d45a,893.4,283,2298.68,2192.08
b45d6b73f4ca4467,893.4,283,2298.68,2192.08
4f732e58ed907eff,908.43,289,2359.36,2267.79
322a56923b396b4d,914.4,293,2401.13,2315.53
03b1e846b09f721d,907.88,298,2425.53,2333.41
c0342805a1948cbb,953.72,303,2488.35,2442.07
d5ae8074631762fc,980.79,307,2524.06,2504.85
8d49545dadf9b919,923.33,311,2581.52,2504.85
852454c572675334,896.32,318,2633.9,2530.22
1ef0eae31904e534,882.27,323,2702.09,2584.36
33a331684283900f,911.37,329,2748.5,2659.87
20821819c401ced8,899.45,333,2791.31,2690.76
42c96a9c4802e2e1,824.34,338,2866.42,2690.76
aa3153a9941b4d44,813.8,343,2911.79,2725.59
de25520d54eab12d,908.95,346,2944.48,2853.43
c7ac79839e86ce33,873.78,350,2979.65,2853.43
d1d20e651e6cbc02,899.14,354,3015.63,2914.77
2a74bbba57058f12,872.93,359,3046.56,2919.49
7a703c565ccaa18f,897.12,361,3065.73,2962.85
c046100aea0dba9a,898.94,367,3118.61,3017.55
d4da8995fc91e7ef,911.62,370,3157.47,3069.09
84283233ec42be5f,887.87,373,3194.83,3082.7
b5882371e2a3900d,887.87,373,3194.83,3082.7
a7a79b8efbceaaac,877.79,375,3204.91,3082.7
6546af7ab545b90c,927.42,380,3258.53,3185.95
2d5fbe2103f97053,919.67,384,3275.68,3195.35
e96d8538d3f9d0ed,921.98,391,3340.1,3262.08
80eacd4da0617c57,899.27,394,3367.32,3266.59
487c170da059857d,1069.69,401,3456.36,3526.05
9649d75defe0dedb,1069.69,401,3456.36,3526.05
b0550072e5f0afa7,1089.14,406,3488.73,3577.87
7dcf06c1967801c1,1124.49,410,3528.71,3653.2
c912f676692c353a,1192.6,416,3602.41,3795.01
351264d11286d09a,1133.24,419,3661.77,3795.01
9de7c97e1c0d7927,1781.62,427,3773.68,4555.3
6b8f28da9a483049,1781.62,427,3773.68,4555.3
cbc071cb20ea59c7,1971.58,432,3924.91,4896.49
e31502e3f79d00c5,1991.37,436,4001.63,4993.0
b16a7e6a627e9789,2010.1,441,4140.6,5150.7
c0c1bc0766df4c00,1967.69,443,4183.01,5150.7
6c9383ffab2725a5,1967.69,443,4183.01,5150.7
2f8f3c69522db931,2081.27,449,4338.22,5419.49
