event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,949.44,5,82.35,31.79
4512e46543b960ad,861.72,12,239.1,100.82
6a8a06b542e1516d,847.91,14,260.45,108.36
865aa315ea62c511,797.1,18,311.26,108.36
b4ad3a06ee4d660c,797.1,18,311.26,108.36
20e403a1acfef130,798.62,20,315.63,114.25
47b7e4e60813b7b2,798.62,20,315.63,114.25
c0231720fe516994,820.5,24,372.38,192.88
e7bfdb5e0112891e,809.66,25,383.22,192.88
ed069a95aaaf4f56,836.69,33,514.09,350.78
bc7f7f0ba3db74d2,836.69,33,514.09,350.78
5df10509264586e5,832.71,34,518.07,350.78
1c7cce2f5c17160d,818.66,39,582.61,401.27
1507214bbc7a79e2,812.59,43,591.82,404.41
90e7447d8b7f3f35,812.59,43,591.82,404.41
353de740bb6c7e75,812.59,43,591.82,404.41
99bf06f20491cb54,818.81,54,750.86,569.67
23bd78c3f89bdb54,818.81,54,750.86,569.67
686cccbf1a4de453,818.81,54,750.86,569.67
d7907a9a968e4d29,844.7,60,833.23,677.93
9f3d6ddef3d3cccc,823.9,65,882.65,706.55
ff9578cdbfabd323,823.9,65,882.65,706.55
f4a031ac205ac580,761.61,73,981.86,743.47
a3244e3238541482,761.61,73,981.86,743.47
d86e913c548c07c2,761.61,73,981.86,743.47
1979c80150f630c4,761.61,73,981.86,743.47
9211aae062b799d6,736.88,78,1017.58,754.46
cc5834a495d1ea08,736.88,78,1017.58,754.46
d6b68eaf4b68b160,736.88,78,1017.58,754.46
a7724f51e32e763e,736.88,78,1017.58,754.46
a25b71fe5e31fa97,716.39,87,1143.26,859.65
d856a0080ac09ed7,716.39,87,1143.26,859.65
caced97768818230,716.39,87,1143.26,859.65
e7bc606d269896aa,716.39,87,1143.26,859.65
30e8b4505f5ccf92,716.39,87,1143.26,859.65
9e30f69cc0869301,716.39,87,1143.26,859.65
bcd124bcd3d5be46,716.39,87,1143.26,859.65
eaa0a728cc91ef60,706.76,93,1185.29,892.05
04076783ca83d6ae,706.76,93,1185.29,892.05
fc1868f56d3036eb,839.1,98,1296.81,1135.91
02177caefe7c07d4,860.58,106,1375.24,1235.82
602bb270f2bdbf02,860.58,106,1375.24,1235.82
7cf20446453f852b,861.04,113,1409.77,1270.81
15515e797aedc137,870.7,117,1448.63,1319.33
d181689653115b6a,868.17,121,1479.87,1348.04
daa89f01e1c0f42a,868.17,121,1479.87,1348.04
7929be8290289a47,861.71,122,1486.33,1348.04
eed2b71d77d95416,1051.17,128,1579.07,1630.24
49e7e05f902479ca,1058.18,131,1681.26,1739.44
620be7e0712d431b,1048.02,134,1691.42,1739.44
ad99fa5325519169,1030.44,136,1709.0,1739.44
67ec58d7cf599835,975.0,139,1764.44,1739.44
3144121470023e9a,975.0,139,1764.44,1739.44
f5990c11974d8e9c,1059.69,141,1806.59,1866.28
d29b5c4f22c6357d,1059.69,141,1806.59,1866.28
2eae41f61776c60f,1059.69,141,1806.59,1866.28
ac5f67109accb482,1056.51,142,1809.77,1866.28
8215e4fe24e8e81b,1017.17,145,1863.49,1880.66
35585d970300d45a,1217.23,152,2019.11,2236.34
b45d6b73f4ca4467,1229.37,157,2041.09,2270.46
4f732e58ed907eff,1250.17,163,2122.68,2372.85
322a56923b396b4d,1250.17,163,2122.68,2372.85
03b1e846b09f721d,1250.17,163,2122.68,2372.85
c0342805a1948cbb,1322.53,167,2211.4,2533.93
d5ae8074631762fc,1322.53,167,2211.4,2533.93
8d49545dadf9b919,1322.53,167,2211.4,2533.93
852454c572675334,1322.53,167,2211.4,2533.93
1ef0eae31904e534,1276.31,172,2382.22,2658.53
33a331684283900f,1308.7,178,2470.94,2779.64
20821819c401ced8,1308.7,178,2470.94,2779.64
42c96a9c4802e2e1,1076.93,183,2702.71,2779.64
aa3153a9941b4d44,1069.52,188,2763.06,2832.58
de25520d54eab12d,1196.56,189,2802.15,2998.71
c7ac79839e86ce33,1189.78,193,2808.93,2998.71
d1d20e651e6cbc02,1189.78,193,2808.93,2998.71
2a74bbba57058f12,1189.78,193,2808.93,2998.71
7a703c565ccaa18f,1189.78,193,2808.93,2998.71
c046100aea0dba9a,1222.57,199,2887.6,3110.17
d4da8995fc91e7ef,1222.57,199,2887.6,3110.17
84283233ec42be5f,1200.0,201,2910.17,3110.17
b5882371e2a3900d,1200.0,201,2910.17,3110.17
a7a79b8efbceaaac,1200.0,201,2910.17,3110.17
6546af7ab545b90c,1291.97,204,3010.04,3302.01
2d5fbe2103f97053,1291.97,204,3010.04,3302.01
e96d8538d3f9d0ed,1291.97,204,3010.04,3302.01
80eacd4da0617c57,1291.97,204,3010.04,3302.01
487c170da059857d,1291.97,204,3010.04,3302.01
