event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,907.3,7,92.7,0.0
4512e46543b960ad,818.94,13,181.06,0.0
6a8a06b542e1516d,806.75,17,243.55,50.3
865aa315ea62c511,750.89,22,299.41,50.3
b4ad3a06ee4d660c,691.12,29,361.5,52.62
20e403a1acfef130,757.46,33,403.66,161.12
47b7e4e60813b7b2,769.73,39,456.29,226.02
c0231720fe516994,765.13,46,516.76,281.89
e7bfdb5e0112891e,748.47,51,579.0,327.47
ed069a95aaaf4f56,770.02,61,652.34,422.36
bc7f7f0ba3db74d2,764.31,67,710.4,474.71
5df10509264586e5,742.89,69,750.85,493.74
1c7cce2f5c17160d,759.47,77,809.41,568.88
1507214bbc7a79e2,722.73,82,857.97,580.7
90e7447d8b7f3f35,737.55,88,899.75,637.3
353de740bb6c7e75,667.42,96,972.62,640.04
99bf06f20491cb54,636.85,105,1038.82,675.67
23bd78c3f89bdb54,686.01,111,1089.47,775.48
686cccbf1a4de453,652.68,116,1142.07,794.75
d7907a9a968e4d29,610.95,122,1206.0,816.95
9f3d6ddef3d3cccc,593.83,129,1259.23,853.06
ff9578cdbfabd323,623.04,136,1309.52,932.56
f4a031ac205ac580,597.58,143,1369.06,966.64
a3244e3238541482,597.58,143,1369.06,966.64
d86e913c548c07c2,714.08,151,1428.16,1142.24
1979c80150f630c4,682.67,157,1471.47,1154.14
9211aae062b799d6,627.64,162,1530.07,1157.71
cc5834a495d1ea08,594.19,168,1577.53,1171.72
d6b68eaf4b68b160,560.84,173,1614.7,1175.54
a7724f51e32e763e,563.07,179,1651.37,1214.44
a25b71fe5e31fa97,557.78,187,1705.52,1263.3
d856a0080ac09ed7,555.15,195,1758.93,1314.08
caced97768818230,557.36,201,1806.73,1364.09
e7bc606d269896aa,546.29,207,1847.4,1393.69
30e8b4505f5ccf92,575.26,212,1898.79,1474.05
9e30f69cc0869301,529.39,218,1947.24,1476.63
bcd124bcd3d5be46,485.85,224,1997.44,1483.29
eaa0a728cc91ef60,499.6,230,2037.69,1537.29
04076783ca83d6ae,501.57,236,2064.05,1565.62
fc1868f56d3036eb,535.23,241,2109.21,1644.44
02177caefe7c07d4,555.73,247,2161.18,1716.91
602bb270f2bdbf02,565.78,252,2185.19,1750.97
7cf20446453f852b,587.96,260,2234.99,1822.95
15515e797aedc137,572.99,264,2277.67,1850.66
d181689653115b6a,533.92,268,2319.32,1853.24
daa89f01e1c0f42a,527.16,274,2371.62,1898.78
7929be8290289a47,510.05,279,2393.15,1903.2
eed2b71d77d95416,576.55,285,2436.21,2012.76
49e7e05f902479ca,595.4,289,2487.3,2082.7
620be7e0712d431b,566.02,293,2516.68,2082.7
ad99fa5325519169,568.81,296,2544.79,2113.6
67ec58d7cf599835,535.1,299,2578.5,2113.6
3144121470023e9a,501.05,306,2624.9,2125.95
f5990c11974d8e9c,542.94,310,2662.53,2205.47
d29b5c4f22c6357d,542.94,310,2662.53,2205.47
2eae41f61776c60f,497.53,317,2707.94,2205.47
ac5f67109accb482,468.71,324,2753.32,2222.03
8215e4fe24e8e81b,477.47,330,2796.34,2273.81
35585d970300d45a,540.55,336,2837.04,2377.59
b45d6b73f4ca4467,569.2,342,2886.74,2455.94
4f732e58ed907eff,546.21,350,2942.23,2488.44
322a56923b396b4d,566.65,356,2992.97,2559.62
03b1e846b09f721d,559.75,363,3035.89,2595.64
c0342805a1948cbb,581.73,370,3087.47,2669.2
d5ae8074631762fc,628.18,374,3127.59,2755.77
8d49545dadf9b919,575.69,383,3180.08,2755.77
852454c572675334,575.69,383,3180.08,2755.77
1ef0eae31904e534,547.44,391,3233.12,2780.56
33a331684283900f,636.07,398,3284.97,2921.04
20821819c401ced8,639.3,405,3341.14,2980.44
42c96a9c4802e2e1,614.06,414,3404.26,3018.32
aa3153a9941b4d44,579.87,420,3464.05,3043.92
de25520d54eab12d,649.89,427,3513.03,3162.92
c7ac79839e86ce33,597.46,430,3565.46,3162.92
d1d20e651e6cbc02,630.28,437,3608.54,3238.82
2a74bbba57058f12,605.71,444,3649.16,3254.87
7a703c565ccaa18f,643.86,450,3692.66,3336.52
c046100aea0dba9a,673.35,457,3749.93,3423.28
d4da8995fc91e7ef,696.78,463,3808.31,3505.09
