event_id,bankroll,cumulative_bets,cumulative_wagered,cumulative_return
46effbd1135423c5,807.47,4,192.53,0.0
4512e46543b960ad,609.45,11,390.55,0.0
6a8a06b542e1516d,646.49,15,493.28,139.77
865aa315ea62c511,524.39,20,615.38,139.77
b4ad3a06ee4d660c,422.82,27,739.99,162.81
20e403a1acfef130,574.01,31,797.68,371.69
47b7e4e60813b7b2,654.57,36,893.75,548.32
c0231720fe516994,625.08,43,1016.17,641.25
e7bfdb5e0112891e,696.19,50,1137.88,834.07
ed069a95aaaf4f56,696.19,50,1137.88,834.07
bc7f7f0ba3db74d2,667.83,56,1270.45,938.28
5df10509264586e5,650.34,59,1357.03,1007.37
1c7cce2f5c17160d,578.91,66,1470.83,1049.74
1507214bbc7a79e2,591.52,73,1560.76,1152.28
90e7447d8b7f3f35,553.69,78,1638.66,1192.35
353de740bb6c7e75,553.69,78,1638.66,1192.35
99bf06f20491cb54,564.88,86,1768.14,1333.02
23bd78c3f89bdb54,633.61,92,1870.48,1504.09
686cccbf1a4de453,495.72,97,2008.37,1504.09
d7907a9a968e4d29,434.04,104,2127.51,1561.55
9f3d6ddef3d3cccc,410.61,110,2221.89,1632.5
ff9578cdbfabd323,443.29,118,2319.34,1762.63
f4a031ac205ac580,474.59,123,2402.98,1877.57
a3244e3238541482,614.82,130,2510.89,2125.71
d86e913c548c07c2,745.85,138,2663.29,2409.14
1979c80150f630c4,692.68,143,2729.21,2421.89
9211aae062b799d6,653.97,149,2885.81,2539.78
cc5834a495d1ea08,556.08,157,3038.93,2595.01
d6b68eaf4b68b160,506.49,166,3138.25,2644.74
a7724f51e32e763e,537.13,173,3228.38,2765.51
a25b71fe5e31fa97,597.77,180,3346.77,2944.54
d856a0080ac09ed7,597.77,180,3346.77,2944.54
caced97768818230,745.97,186,3460.12,3206.09
e7bc606d269896aa,598.32,195,3640.26,3238.58
30e8b4505f5ccf92,549.63,203,3787.42,3337.05
9e30f69cc0869301,434.92,210,3902.13,3337.05
bcd124bcd3d5be46,367.43,219,4008.58,3376.01
eaa0a728cc91ef60,375.58,224,4074.92,3450.5
04076783ca83d6ae,354.88,228,4127.56,3482.44
fc1868f56d3036eb,398.31,233,4181.36,3579.67
02177caefe7c07d4,458.24,239,4273.54,3731.78
602bb270f2bdbf02,452.58,246,4369.1,3821.68
7cf20446453f852b,478.22,254,4464.84,3943.06
15515e797aedc137,472.94,259,4570.38,4043.32
d181689653115b6a,423.56,266,4653.7,4077.26
daa89f01e1c0f42a,395.3,271,4754.81,4150.11
7929be8290289a47,339.63,276,4810.48,4150.11
eed2b71d77d95416,363.75,282,4856.03,4219.78
