Bet,betsite,dates,odds,fighter1,fighter2,class,url
Jose Aldo,5Dimes,1489174565000,-130,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1489175286000,-155,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1489176367000,-130,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1489193645000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1489316045000,-130,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1489942984000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1492359486000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1492462984000,-135,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1494525614000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1494785166000,-135,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1495386186000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1495386725000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496062085000,-135,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496082968000,-115,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496083326000,-110,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496091246000,-120,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496091606000,-110,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496237048000,-105,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496278627000,-115,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496278986000,-135,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496279168000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496296627000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496331367000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496332448000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496421367000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496429467000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496438108000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496438647000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496497687000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496513349000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496517307000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496520187000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496520727000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496541967000,-142,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496546826000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496549347000,-142,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,5Dimes,1496549527000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1494364326000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1494377107000,-137,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1495309867000,-127,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1495425784000,-130,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1495524964000,-142,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1495571948000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496083865000,-115,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496278447000,-120,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496278628000,-125,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496279169000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496279888000,-160,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496280363000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496280607000,-145,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496280965000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496284926000,-149,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496285107000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496285287000,-149,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496320387000,-154,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496320747000,-153,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496321107000,-156,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496332628000,-155,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496362149000,-160,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496408768000,-160,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496409128000,-160,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496534768000,-156,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496535487000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496544127000,-148,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496546287000,-150,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496548447000,-164,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496549347000,-163,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BetDSI,1496549708000,-180,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BookMaker,1494364326000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BookMaker,1494376926000,-137,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
Jose Aldo,BookMaker,1494377108000,-140,Jose Aldo,Max Holloway,even,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
