Bet,betsite,dates,odds,fighter1,fighter2,class,url
Benson Henderson,5Dimes,1401554347000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1401554707000,-215,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1401620946000,-260,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1401649206000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1401656045000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1401918487000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402010107000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402064829000,-260,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402072388000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402072569000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402108207000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402174086000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402180388000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402181466000,-225,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402182549000,-220,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,5Dimes,1402198205000,-225,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1401742447000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1401831546000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402163467000,-270,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402165087000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402181828000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402187227000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402187587000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402187947000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402188667000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402189027000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402198574000,-220,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetDSI,1402199290000,-225,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1401742448000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1401831546000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402163287000,-270,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402165267000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402181467000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402187408000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402187587000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402187947000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402188667000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402189209000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402189387000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402198574000,-220,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402198938000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BookMaker,1402199467000,-225,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1401554351000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1401554710000,-208,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1401620948000,-248,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1401649208000,-241,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1401656046000,-239,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1401918489000,-234,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402010110000,-244,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402064832000,-254,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402072391000,-249,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402072571000,-244,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402108210000,-234,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402174089000,-239,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402180391000,-234,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402181469000,-229,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402182552000,-224,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportBet,1402198208000,-229,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Bovada,1401745694000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Bovada,1401899226000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Bovada,1402164187000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Bovada,1402185965000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Sportsbook,1401748209000,-275,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Sportsbook,1401917949000,-265,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Sportsbook,1401923888000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Sportsbook,1402101197000,-275,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Sportsbook,1402186148000,-260,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Sportsbook,1402193527000,-280,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401651727000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401656227000,-237,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401663789000,-231,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401663966000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401727146000,-237,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401737768000,-234,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401766386000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401778087000,-233,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401814812000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401837127000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401930189000,-231,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1401931449000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402010109000,-231,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402045390000,-232,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402083188000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402108209000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402134314000,-229,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402157528000,-227,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402158968000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402162568000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402163288000,-241,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402163468000,-237,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402164189000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402164548000,-234,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402164728000,-238,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402165088000,-237,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402173908000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402177869000,-219,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402178229000,-220,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402182729000,-219,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402187409000,-220,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402187767000,-219,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402191188000,-218,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402197488000,-217,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,Pinnacle,1402198575000,-218,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportsInt.,1401652628000,-263,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportsInt.,1401658033000,-256,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,SportsInt.,1401981490000,-294,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1401658568000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1401672067000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1401727509000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1402018931000,-235,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1402136470000,-230,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1402162570000,-260,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1402164191000,-250,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1402164549000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,BetOnline,1402178413000,-225,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401554347000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401554351000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401554707000,-225,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401554710000,-211,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401620946000,-231,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401620948000,-254,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401649206000,-249,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401649208000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401651727000,-242,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401652628000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401656045000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401656046000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401656227000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401658033000,-244,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401658568000,-243,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401663789000,-242,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401663966000,-242,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401672067000,-241,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401727146000,-242,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401727509000,-243,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401737768000,-243,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401742447000,-241,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401742448000,-240,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401745694000,-242,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401748209000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401766386000,-244,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401778087000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401814812000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401831546000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401837127000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401899226000,-244,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401917949000,-244,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401918487000,-243,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401918489000,-242,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401923888000,-241,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401930189000,-241,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401931449000,-241,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1401981490000,-244,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402010107000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402010109000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402010110000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402018931000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402045390000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402064829000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402064832000,-248,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402072388000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402072391000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402072569000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402072571000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402083188000,-245,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402101197000,-248,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402108207000,-247,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
Benson Henderson,meanodds,1402108209000,-246,Benson Henderson,Rustam Khabilov,even,https://www.bestfightodds.com/events/ufc-fight-night-42-henderson-vs-khabilov-822
